RamanShift,CaZn4
561.86,0.0009873
562.82,0.000690259
563.79,0.00040435
564.75,0.000180028
565.71,5.12E-05
566.68,1.68E-06
567.64,1.10E-05
568.61,4.14E-05
569.57,9.32E-05
570.54,0.000123959
571.5,0.00013364
572.46,0.000143361
573.43,0.000174407
574.39,0.000239911
575.36,0.000271303
576.32,0.000259908
577.29,0.000274242
578.25,0.00031462
579.21,0.000359499
580.18,0.000374138
581.14,0.000445416
582.11,0.000621471
583.07,0.000837639
584.03,0.001037229
585,0.00118062
585.96,0.001258766
586.93,0.001288753
587.89,0.00132332
588.86,0.001406613
589.82,0.00159222
590.78,0.001885174
591.75,0.002246069
592.71,0.002452428
593.68,0.002588111
594.64,0.002724374
595.61,0.002883602
596.57,0.003065985
597.53,0.003271637
598.5,0.003464567
599.46,0.003603977
600.43,0.003712198
601.39,0.003829929
602.36,0.003975438
603.32,0.004130651
604.28,0.004318474
605.25,0.00461246
606.21,0.004994795
607.18,0.005351121
608.14,0.00557515
609.1,0.00563374
610.07,0.005724958
611.03,0.005941673
612,0.006205788
612.96,0.006428975
613.93,0.00657839
614.89,0.006756375
615.85,0.007108406
616.82,0.007480693
617.78,0.007821383
618.75,0.008116313
619.71,0.008393399
620.68,0.008657415
621.64,0.008855941
622.6,0.009002964
623.57,0.009136265
624.53,0.009284251
625.5,0.009456804
626.46,0.009668148
627.43,0.009971606
628.39,0.010300082
629.35,0.010557545
630.32,0.010738767
631.28,0.010910875
632.25,0.011175756
633.21,0.011616355
634.18,0.012083068
635.14,0.012468487
636.1,0.012747794
637.07,0.012920624
638.03,0.013030118
639,0.013194161
639.96,0.013521047
640.92,0.013947753
641.89,0.014351481
642.85,0.014637637
643.82,0.014796042
644.78,0.014929854
645.75,0.015104117
646.71,0.015358582
647.67,0.015748946
648.64,0.016246044
649.6,0.016719665
650.57,0.016953809
651.53,0.017102906
652.5,0.017293067
653.46,0.017503769
654.42,0.017725331
655.39,0.017993538
656.35,0.01839969
657.32,0.018838076
658.28,0.019190894
659.25,0.019483914
660.21,0.019736588
661.17,0.019974676
662.14,0.020188092
663.1,0.020494625
664.07,0.020848965
665.03,0.02117311
665.99,0.021436145
666.96,0.021638091
667.92,0.021814281
668.89,0.022001767
669.85,0.022189489
670.82,0.022383255
671.78,0.022577323
672.74,0.022771958
673.71,0.02294646
674.67,0.022994715
675.64,0.022969457
676.6,0.022985927
677.57,0.023103319
678.53,0.023268362
679.49,0.023311611
680.46,0.023030448
681.42,0.022801092
682.39,0.022726117
683.35,0.022746727
684.32,0.022799823
685.28,0.022847282
686.24,0.022808657
687.21,0.022640662
688.17,0.022455415
689.14,0.022318382
690.1,0.022240053
691.06,0.022193899
692.03,0.022131483
692.99,0.022013866
693.96,0.021786864
694.92,0.021487489
695.89,0.021203706
696.85,0.021061162
697.81,0.021077493
698.78,0.021044465
699.74,0.020856445
700.71,0.020601591
701.67,0.020373147
702.64,0.020210658
703.6,0.020130514
704.56,0.020189116
705.53,0.020359621
706.49,0.020507954
707.46,0.020606648
708.42,0.02071652
709.39,0.020939192
710.35,0.02127467
711.31,0.021414078
712.28,0.021322815
713.24,0.02123645
714.21,0.021325467
715.17,0.021584564
716.13,0.021787668
717.1,0.021752529
718.06,0.021796752
719.03,0.02202402
719.99,0.022343195
720.96,0.022617772
721.92,0.022772342
722.88,0.022887068
723.85,0.022979309
724.81,0.023054147
725.78,0.023187247
726.74,0.023418726
727.71,0.023720788
728.67,0.023924712
729.63,0.023989518
730.6,0.024095565
731.56,0.024259909
732.53,0.024477656
733.49,0.024736634
734.46,0.025002522
735.42,0.025186651
736.38,0.025277035
737.35,0.025403337
738.31,0.025659459
739.28,0.026052718
740.24,0.026494212
741.2,0.026842077
742.17,0.027090303
743.13,0.027404299
744.1,0.027785133
745.06,0.028142893
746.03,0.028406314
746.99,0.028592131
747.95,0.028772469
748.92,0.02876724
749.88,0.028779555
750.85,0.028900706
751.81,0.029082219
752.78,0.029210025
753.74,0.029362039
754.7,0.029599333
755.67,0.029764717
756.63,0.029820489
757.6,0.029785171
758.56,0.029682014
759.53,0.029542098
760.49,0.029413423
761.45,0.029339454
762.42,0.029259386
763.38,0.029129292
764.35,0.028943485
765.31,0.028670098
766.28,0.028241346
767.24,0.02777977
768.2,0.027353856
769.17,0.026914418
770.13,0.026429493
771.1,0.025887148
772.06,0.02533018
773.02,0.02481515
773.99,0.024292398
774.95,0.023692302
775.92,0.023002526
776.88,0.022266098
777.85,0.021514949
778.81,0.020716921
779.77,0.019846737
780.74,0.019037302
781.7,0.018301227
782.67,0.017550238
783.63,0.01673946
784.6,0.015862418
785.56,0.01492506
786.52,0.014055095
787.49,0.013316975
788.45,0.012685482
789.42,0.012116306
790.38,0.011551759
791.35,0.010940307
792.31,0.01029468
793.27,0.00966643
794.24,0.009081555
795.2,0.008501322
796.17,0.007899803
797.13,0.007244458
798.09,0.00654795
799.06,0.005940645
800.02,0.005481761
800.99,0.005152309
801.95,0.004893956
802.92,0.004654467
803.88,0.004433991
804.84,0.004285263
805.81,0.004096474
806.77,0.00386754
807.74,0.003651086
808.7,0.003480392
809.67,0.003362177
810.63,0.003237019
811.59,0.003058272
