RamanShift,MW0
797.21,0.00845941
798.17,0.008358989
799.14,0.008224624
800.1,0.008068418
801.07,0.007929593
802.03,0.007825822
803,0.00774676
803.96,0.007660214
804.92,0.007550104
805.89,0.007385967
806.85,0.007187135
807.82,0.007002145
808.78,0.00685607
809.74,0.006731158
810.71,0.006559001
811.67,0.006286795
812.64,0.005997517
813.6,0.005732696
814.57,0.0054907
815.53,0.005266098
816.49,0.005046291
817.46,0.004838602
818.42,0.004635717
819.39,0.004415784
820.35,0.004213489
821.32,0.004039943
822.28,0.003858494
823.24,0.003619473
824.21,0.003318919
825.17,0.003039601
826.14,0.002809379
827.1,0.002621017
828.07,0.002461754
829.03,0.002313153
829.99,0.00214182
830.96,0.001904792
831.92,0.001637249
832.89,0.001413718
833.85,0.001240034
834.81,0.001099551
835.78,0.000979262
836.74,0.000890571
837.71,0.000826045
838.67,0.000740636
839.64,0.000647405
840.6,0.000563376
841.56,0.00048478
842.53,0.000390766
843.49,0.000269957
844.46,0.000148763
845.42,7.10E-05
846.39,3.68E-05
847.35,4.26E-05
848.31,7.71E-05
849.28,0.000125098
850.24,0.000171308
851.21,0.000219531
852.17,0.000289064
853.14,0.000383776
854.1,0.000480716
855.06,0.000570209
856.03,0.000657991
856.99,0.000775076
857.96,0.000911844
858.92,0.001037375
859.89,0.001159346
860.85,0.001279735
861.81,0.001394608
862.78,0.001505878
863.74,0.00162138
864.71,0.001758715
865.67,0.001890562
866.63,0.001997248
867.6,0.002116029
868.56,0.00228039
869.53,0.002472787
870.49,0.002632185
871.46,0.002750493
872.42,0.002821622
873.38,0.00282756
874.35,0.002815623
875.31,0.002831466
876.28,0.002909036
877.24,0.003046612
878.21,0.003246404
879.17,0.0034827
880.13,0.003683634
881.1,0.003828995
882.06,0.003926571
883.03,0.00399028
883.99,0.004021921
884.96,0.004110067
885.92,0.004289213
886.88,0.004480975
887.85,0.00464088
888.81,0.004744458
889.78,0.004785462
890.74,0.0047737
891.7,0.004772061
892.67,0.004839703
893.63,0.004962534
894.6,0.005097966
895.56,0.005209197
896.53,0.00528386
897.49,0.00534432
898.45,0.005456282
899.42,0.005619949
900.38,0.005790179
901.35,0.005952641
902.31,0.006076275
903.28,0.006158897
904.24,0.006235467
905.2,0.006361991
906.17,0.006503388
907.13,0.006609762
908.1,0.006699822
909.06,0.0068067
910.03,0.006943108
910.99,0.007081893
911.95,0.007175016
912.92,0.007199263
913.88,0.007263354
914.85,0.007417996
915.81,0.007615013
916.77,0.007795676
917.74,0.0079347
918.7,0.008054974
919.67,0.008137548
920.63,0.008196977
921.6,0.008288386
922.56,0.008426644
923.52,0.00860775
924.49,0.008804301
925.45,0.009003373
926.42,0.009205154
927.38,0.009373187
928.35,0.009488204
929.31,0.009566986
930.27,0.009665273
931.24,0.009826145
932.2,0.010036784
933.17,0.010213577
934.13,0.010319567
935.1,0.010449627
936.06,0.010610163
937.02,0.010801411
937.99,0.011008375
938.95,0.011209227
939.92,0.011369404
940.88,0.011473256
941.84,0.011577342
942.81,0.011718882
943.77,0.011913042
944.74,0.012151525
945.7,0.012410178
946.67,0.012654253
947.63,0.012850469
948.59,0.012998784
949.56,0.013094763
950.52,0.013137902
951.49,0.013183451
952.45,0.013268743
953.42,0.013389724
954.38,0.013530779
955.34,0.013727628
956.31,0.013962809
957.27,0.014218421
958.24,0.014485917
959.2,0.014753928
960.17,0.014991453
961.13,0.015171275
962.09,0.015297823
963.06,0.015429262
964.02,0.015585511
964.99,0.015782726
965.95,0.016018444
966.91,0.016250205
967.88,0.016437576
968.84,0.016629741
969.81,0.016858658
970.77,0.017013242
