Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
2549.434,0.109400381,0.111785406,0.112037611,0.111462362,0.109636897,0.105900679,0.10302298,0.100959648,0.097937538,0.096431167,0.093866455,0.0920935,0.091305271,0.08907902,0.089226204
2549.916,0.109549275,0.111936171,0.112167646,0.111570601,0.109794981,0.106017173,0.103156578,0.101068717,0.098045649,0.096555082,0.094005448,0.092222052,0.091425614,0.089230269,0.089324645
2550.398,0.109692164,0.112075501,0.112306492,0.1116692,0.109951483,0.106124376,0.103283387,0.101174422,0.098155686,0.096671149,0.094133724,0.092344425,0.091548151,0.089385453,0.089413152
2550.88,0.109821525,0.112192857,0.112445708,0.111755659,0.110092642,0.10621235,0.103401001,0.101271848,0.09825534,0.096772427,0.094239932,0.092451852,0.091661968,0.089528578,0.08948309
2551.362,0.109937725,0.11228551,0.112580973,0.111831577,0.110215283,0.106279164,0.103509366,0.101361635,0.098338029,0.096860571,0.094322161,0.092542007,0.091760958,0.089651774,0.089534806
2551.844,0.110046786,0.112357092,0.112708344,0.111903567,0.11031605,0.106329704,0.103611797,0.101444105,0.098398453,0.096938305,0.094384389,0.092619065,0.091843398,0.08975443,0.089574342
2552.326,0.110158861,0.112418502,0.112829616,0.111981453,0.110402526,0.106377451,0.103713265,0.101524599,0.098440841,0.097014438,0.094437811,0.092691422,0.091915029,0.089844719,0.089614478
2552.808,0.110281287,0.112481548,0.1129473,0.112071137,0.11048194,0.106437604,0.103815269,0.101608191,0.098472364,0.097096709,0.094496379,0.092768373,0.091984938,0.089930155,0.089667093
2553.291,0.110417443,0.112556225,0.113065886,0.11217458,0.11056224,0.106522625,0.103916898,0.101701343,0.098504369,0.097188218,0.094571075,0.092856364,0.092061374,0.090015028,0.089739426
2553.772,0.110560947,0.112646167,0.113183217,0.112286602,0.11064661,0.106633157,0.104012325,0.10180176,0.098543332,0.097284584,0.094664975,0.092953491,0.092148512,0.090096273,0.089827883
2554.255,0.110699755,0.112745561,0.113295172,0.112397383,0.110733977,0.106759802,0.104095082,0.101906877,0.098591232,0.097377961,0.094773304,0.093053153,0.092242803,0.090166328,0.08992268
2554.737,0.110821266,0.112846777,0.113396342,0.112497086,0.110819054,0.106889025,0.104160572,0.102008469,0.098646519,0.097458364,0.094884817,0.093145105,0.092336467,0.090217528,0.090007643
2555.219,0.110917765,0.112943999,0.113483502,0.112582321,0.110899721,0.10700466,0.104212054,0.102102957,0.098707424,0.097522698,0.094989645,0.093223007,0.092424911,0.090249567,0.090074086
2555.701,0.110987745,0.113033047,0.113557365,0.112653259,0.110973505,0.107098704,0.104255518,0.102185961,0.098772612,0.097571548,0.095078134,0.093286861,0.092502234,0.090269955,0.090118664
2556.183,0.111042673,0.113119918,0.113626198,0.112719916,0.111046587,0.107174648,0.104303633,0.102261274,0.098848182,0.097615807,0.095152352,0.093344535,0.092572665,0.090292693,0.090148017
2556.665,0.111093843,0.113211698,0.113696651,0.11279247,0.111124787,0.107241032,0.104365915,0.102332153,0.098936865,0.097667754,0.095216384,0.093403266,0.092641321,0.09033214,0.090173027
2557.147,0.111156486,0.113315479,0.113776992,0.112879324,0.111215706,0.107311283,0.104448725,0.102406985,0.099044975,0.097738655,0.095280416,0.093472665,0.092715146,0.090399027,0.090205674
2557.629,0.111239638,0.113436531,0.113870276,0.11298441,0.111323755,0.107396572,0.104551584,0.102490523,0.099173102,0.097834914,0.095352565,0.093556536,0.092800926,0.090493865,0.090255493
2558.112,0.111340669,0.113570677,0.113972192,0.113103086,0.111446812,0.10749749,0.104665509,0.102581005,0.099312736,0.097951355,0.095437393,0.093650916,0.092895844,0.090609448,0.090323983
2558.594,0.111457507,0.113714284,0.114077349,0.113229274,0.111579765,0.107611084,0.104779648,0.10267763,0.099455421,0.098080289,0.09553437,0.093751846,0.09299781,0.090734484,0.090410743
2559.076,0.111581129,0.113859354,0.114179274,0.113358865,0.111715552,0.107729028,0.104886195,0.10277794,0.099586652,0.098210183,0.095639676,0.093852882,0.093103013,0.090859418,0.090511181
2559.558,0.111704942,0.114001342,0.114275631,0.113487568,0.111845514,0.107843696,0.104981676,0.10288092,0.099698937,0.09833239,0.095747369,0.093951647,0.093205918,0.090976176,0.090620255
2560.04,0.111826876,0.114138792,0.114368576,0.113616997,0.111966304,0.107952026,0.105068015,0.102986411,0.09978944,0.098444506,0.095853205,0.094047559,0.093306474,0.09108435,0.090736268
2560.522,0.11194468,0.114270069,0.114460086,0.113746609,0.112073149,0.108053643,0.105148527,0.103095374,0.09986014,0.098545517,0.095952304,0.09414157,0.093403637,0.091182253,0.09085258
2561.004,0.11205496,0.11439117,0.114552858,0.113873366,0.112163393,0.108149406,0.105225297,0.103204391,0.099916764,0.098636011,0.09603936,0.094232043,0.093493125,0.091266054,0.090960107
2561.486,0.112155082,0.114496275,0.114645634,0.11399155,0.112237042,0.108238132,0.105298698,0.103309401,0.099965146,0.098716468,0.09611013,0.09431248,0.093571178,0.09133105,0.09105126
2561.969,0.112237895,0.114575924,0.11473266,0.114089357,0.112293032,0.108315849,0.105364188,0.103401378,0.100007748,0.098781335,0.096161377,0.094374274,0.093628244,0.091366818,0.091115256
2562.451,0.112296802,0.114622842,0.114806562,0.11415945,0.112333835,0.108374874,0.105416205,0.103471617,0.100044088,0.098825754,0.096188433,0.094407759,0.093656228,0.091370191,0.091147155
2562.933,0.112332938,0.114638483,0.114865902,0.114201113,0.112368451,0.108412524,0.105456782,0.103517873,0.10007529,0.098850633,0.096196921,0.094412513,0.093654192,0.091344489,0.091153345
2563.415,0.112351765,0.114633754,0.114913914,0.114222568,0.112405367,0.108431107,0.105491852,0.103543191,0.100103228,0.098859282,0.096194534,0.094396245,0.093630228,0.091303099,0.091146406
2563.897,0.112366822,0.114629571,0.114963006,0.114239737,0.112459948,0.108441742,0.105535262,0.103560016,0.100136571,0.098864194,0.096194958,0.094375542,0.093599633,0.09126866,0.091147155
2564.379,0.112393171,0.114648121,0.115026485,0.114270139,0.112541203,0.108460647,0.105600805,0.103582129,0.10018217,0.09887973,0.096211457,0.094367778,0.093581568,0.091260944,0.091173313
