Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3690.122,0.049108228,0.049638611,0.046835377,0.044415734,0.040263516,0.039387582,0.034742052,0.026316921,0.022814308,0.013364823,0.012450262,0.006792101,0.006718731,0.008067706,0.013358676,0.016495824
3690.604,0.049459105,0.050034762,0.047169877,0.044659258,0.040496068,0.040133141,0.035371183,0.02672301,0.023261096,0.013615309,0.01297261,0.00751429,0.007596937,0.008872924,0.013867941,0.016703506
3691.086,0.04991401,0.050563658,0.047600515,0.04496816,0.040798385,0.041092518,0.036140858,0.027227713,0.023789174,0.014333065,0.013722411,0.008559382,0.008741924,0.010080826,0.015246929,0.018106054
3691.568,0.050416154,0.051163006,0.048077874,0.045315931,0.041142551,0.042164692,0.036975918,0.027788871,0.024361879,0.015395135,0.014621009,0.009811006,0.010047196,0.011559548,0.01726423,0.020428728
3692.051,0.050904826,0.051764074,0.048550958,0.045676694,0.041501329,0.043241943,0.037805229,0.028373352,0.024956614,0.01663214,0.015587879,0.011144954,0.011414317,0.013159095,0.019593444,0.023233388
3692.532,0.051330321,0.052306884,0.048976738,0.04602741,0.041847066,0.044228957,0.03856628,0.028945832,0.025546384,0.017863329,0.016539952,0.012437815,0.012744507,0.01472607,0.021888992,0.026042807
3693.015,0.051670283,0.052759319,0.04933167,0.046352512,0.042155878,0.045068837,0.039218826,0.029469371,0.026097733,0.018942327,0.017398417,0.013585799,0.013947882,0.016129597,0.023881362,0.02848168
3693.497,0.051930809,0.053116652,0.049615752,0.046645846,0.042415875,0.045749859,0.039748442,0.029914279,0.026573789,0.019788182,0.018107462,0.014522757,0.014958342,0.017287927,0.025437065,0.030368205
3693.979,0.052140194,0.053399997,0.049846524,0.046911513,0.04262779,0.046299136,0.040165266,0.030263027,0.02694513,0.020392535,0.018639207,0.015226375,0.015745084,0.018174007,0.026559274,0.031711173
3694.461,0.052329423,0.053639492,0.050047224,0.047154774,0.042801156,0.046761578,0.040494754,0.030516135,0.027198051,0.020796043,0.018998013,0.015715273,0.01631251,0.018811441,0.027340346,0.032644069
3694.943,0.05252295,0.053860106,0.050240591,0.047382046,0.0429542,0.047182303,0.04077025,0.030690404,0.027345326,0.021066519,0.019219339,0.016037527,0.01669933,0.019257339,0.027907817,0.033339759
3695.425,0.05272933,0.05407727,0.050438593,0.047595326,0.043103473,0.047596067,0.04102139,0.03081735,0.027419532,0.021273959,0.019356663,0.016258387,0.016969966,0.019588868,0.028381612,0.033947705
3695.907,0.05294135,0.05428995,0.050643792,0.047791198,0.043260341,0.048018205,0.041271432,0.030931094,0.027463124,0.021473661,0.019469013,0.016445699,0.017198874,0.019881272,0.028848138,0.034558467
3696.389,0.053142165,0.054488939,0.050846102,0.047961822,0.043422655,0.048449242,0.04153151,0.031058822,0.027516594,0.021696627,0.019603637,0.016650085,0.017447361,0.020191612,0.029346474,0.035197393
3696.872,0.053312647,0.054657583,0.051029449,0.048097207,0.043579889,0.048869967,0.041795403,0.031208516,0.027597833,0.021939479,0.019777978,0.016890115,0.017742915,0.020537775,0.029865839,0.03582787
3697.354,0.053436475,0.05477956,0.051175856,0.048184623,0.043708474,0.049248662,0.042041682,0.031365098,0.027701463,0.022171791,0.01997646,0.017146321,0.018069171,0.020893104,0.030351197,0.03637439
3697.836,0.053502538,0.054842031,0.051267026,0.048212289,0.043783948,0.049546749,0.042239459,0.031496896,0.027796147,0.022341013,0.020153501,0.01736843,0.018371844,0.021198615,0.030722779,0.036743867
3698.318,0.053505614,0.054837345,0.051291833,0.04817363,0.043787929,0.049727382,0.042355229,0.031568169,0.027845221,0.022391329,0.020254482,0.017494236,0.01858063,0.021382266,0.030892566,0.036845548
3698.8,0.053440086,0.054759261,0.051237266,0.048062072,0.043706483,0.049754914,0.042360194,0.031544376,0.027811143,0.022265515,0.02022115,0.01745919,0.018621122,0.021370884,0.030772788,0.036590764
3699.282,0.053302752,0.054607089,0.051100937,0.047877457,0.04353935,0.049609508,0.042235748,0.0314023,0.027668885,0.021919124,0.020013063,0.017217262,0.018442049,0.021113515,0.030294699,0.035914352
3699.764,0.053102454,0.054392652,0.050891769,0.047633617,0.043299885,0.049300637,0.041988632,0.031143661,0.027413481,0.021345251,0.019618485,0.016758468,0.01802947,0.020603805,0.029451128,0.034821846
3700.246,0.05286555,0.054145622,0.050638491,0.04735622,0.043013805,0.048882477,0.041654963,0.030786983,0.027057499,0.020592342,0.019060626,0.016119351,0.017417005,0.019893492,0.028335116,0.033441537
3700.729,0.052641776,0.053915954,0.050387637,0.047087292,0.042721596,0.048454947,0.041302217,0.030376406,0.026633568,0.019777434,0.018406354,0.015390323,0.016693991,0.019099016,0.027157531,0.032048214
3701.211,0.052490204,0.053762281,0.050195458,0.046874064,0.042467832,0.048137126,0.041011146,0.029972456,0.026189004,0.019059469,0.017751045,0.01469689,0.015980123,0.018376335,0.02619789,0.030991447
3701.693,0.052451578,0.05372326,0.050104843,0.046749882,0.042285877,0.048015798,0.040847343,0.029632005,0.025779345,0.018584825,0.017195106,0.014160565,0.015396877,0.017867462,0.025696089,0.030559621
3702.175,0.052528029,0.053802172,0.050122281,0.046722585,0.042192227,0.048111217,0.040832395,0.029400498,0.025458475,0.018431439,0.016815948,0.013861175,0.015030327,0.017652569,0.025749904,0.030846453
3702.657,0.052676931,0.053956891,0.050218196,0.046768607,0.042178348,0.048361935,0.040937241,0.029296614,0.025265952,0.018579736,0.016648461,0.013815945,0.014909247,0.017728504,0.026281417,0.031715349
3703.139,0.052829455,0.054125148,0.050341131,0.046846871,0.04222072,0.048664001,0.041104598,0.029314354,0.02522236,0.018944923,0.016686205,0.013989877,0.01501411,0.01802958,0.027094056,0.032881955
3703.621,0.052920228,0.054246058,0.050438937,0.04691793,0.042291847,0.048913306,0.041268558,0.029427369,0.025320715,0.01941261,0.016891593,0.014315177,0.015292953,0.018460547,0.027965388,0.034036712
3704.103,0.0529098,0.054281794,0.050478606,0.046952644,0.042365122,0.049041544,0.041383335,0.029596733,0.025528233,0.019880245,0.017207255,0.014713814,0.015671863,0.01892379,0.028713674,0.034947222
3704.585,0.052787613,0.054218648,0.050446117,0.046936654,0.042418232,0.049019561,0.04141689,0.02977309,0.02578736,0.020265527,0.017555158,0.015099171,0.016064468,0.019327361,0.0292245,0.035485148
