Wavenumber,t0,60s,180s,5m,8m,10m,20m,30m,60m,90m
728.9604,0.714688024,0.671507813,0.597927566,0.573419536,0.540613767,0.531202517,0.497120464,0.468985144,0.401918808,0.373515608
729.4426,0.712615249,0.669574956,0.596205449,0.571772171,0.539029261,0.529639085,0.495638737,0.467474861,0.400655555,0.372337219
729.9247,0.710583619,0.667681153,0.594507708,0.570158172,0.537481092,0.528114385,0.494181648,0.466018843,0.399431969,0.371192689
730.4068,0.708520818,0.665750367,0.592771662,0.568514427,0.535916608,0.526571172,0.492700153,0.464580244,0.398208589,0.370047568
730.8889,0.706386016,0.663740882,0.590963024,0.566805244,0.534308865,0.524978995,0.491172173,0.463131819,0.396962716,0.368882762
731.371,0.704196044,0.661667787,0.58909974,0.565044847,0.532673437,0.523351008,0.489615604,0.461674461,0.395699871,0.367703979
731.8531,0.702009812,0.659593805,0.587236993,0.563284191,0.531055807,0.521734228,0.4880767,0.460231172,0.394445819,0.366536417
732.3353,0.699894959,0.657589941,0.585436927,0.561580698,0.529503683,0.520182001,0.48660427,0.458833439,0.39323164,0.36540803
732.8174,0.697881406,0.655695546,0.583733828,0.559964112,0.528034121,0.518721612,0.485221093,0.457498235,0.392074101,0.364332597
733.2995,0.695945777,0.653896418,0.582115911,0.558420467,0.52662265,0.517337714,0.483910432,0.456215734,0.390966045,0.363305
733.7816,0.694024487,0.652134569,0.580534692,0.556902687,0.525215875,0.51598183,0.482627664,0.454956903,0.389883957,0.36230457
734.2637,0.692050208,0.650342246,0.578935526,0.555358783,0.523761639,0.514600856,0.481324674,0.453686238,0.388800847,0.361309062
734.7458,0.6899952,0.648483354,0.577289215,0.553764701,0.522241897,0.513167506,0.479978452,0.452385647,0.387706695,0.360309813
735.228,0.687888762,0.646573278,0.575610225,0.552140097,0.520682852,0.511695912,0.478602945,0.451065182,0.386612135,0.35931706
735.7101,0.68580352,0.644668232,0.573945967,0.550535927,0.519143087,0.510231382,0.477238594,0.449755213,0.385544156,0.35835423
736.1922,0.683812098,0.64283153,0.572348943,0.549005731,0.517682177,0.50882556,0.475928863,0.448493703,0.384530977,0.357445732
736.6743,0.681947847,0.641096012,0.570842459,0.547572531,0.516327313,0.507504511,0.474693045,0.447300751,0.38358323,0.356601213
737.1564,0.680183339,0.639443927,0.569407496,0.54621641,0.515060449,0.506253619,0.473513474,0.44616988,0.382691101,0.355810043
737.6385,0.678447196,0.637820244,0.567995033,0.544884861,0.513829676,0.50502928,0.472348778,0.4450734,0.381827803,0.35505037
738.1207,0.676662739,0.636163721,0.566552569,0.543525118,0.512577891,0.503782772,0.471156889,0.443976697,0.380967776,0.354298571
738.6028,0.674793813,0.634446842,0.565058942,0.542114162,0.511278398,0.502491686,0.469923395,0.442862352,0.380099366,0.353544213
739.0849,0.672864107,0.632692093,0.563535582,0.540673461,0.509946276,0.501173073,0.468670842,0.441739298,0.379233205,0.35279517
739.567,0.67094531,0.630959534,0.562037402,0.539256298,0.508629232,0.499873949,0.467448736,0.440637236,0.378393013,0.352072505
740.0491,0.669115034,0.629312478,0.560617707,0.537916213,0.507380166,0.49864425,0.466307284,0.439590555,0.377602099,0.351395709
740.5313,0.667414736,0.627781104,0.559302747,0.536677779,0.506224292,0.497508582,0.465270424,0.438617569,0.376867621,0.35077049
741.0134,0.665829764,0.626345293,0.558074041,0.53552108,0.505149003,0.496453545,0.46432514,0.437709568,0.376177105,0.350184838
741.4955,0.664289054,0.624939955,0.556872658,0.53438559,0.504103377,0.495429202,0.463421693,0.436829928,0.375498858,0.349610999
741.9776,0.662711252,0.623491718,0.555636719,0.533209233,0.503032043,0.494379281,0.462505928,0.435935772,0.37480323,0.349021804
742.4597,0.661045551,0.621963598,0.5543306,0.531955797,0.501904349,0.493274063,0.46154298,0.434998963,0.374076317,0.348403081
742.9418,0.65929694,0.620363288,0.552961263,0.530635111,0.500726475,0.492119393,0.460532616,0.434016821,0.373323232,0.347757979
743.424,0.657517159,0.618741677,0.551569962,0.529291664,0.499534017,0.490951813,0.459501799,0.433011677,0.372564626,0.347103624
