Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
694.7302,0.433185802,0.406074547,0.397446064,0.392871195,0.388794017,0.385072462,0.383736982,0.38911015,0.392435355,0.394606032,0.39985679,0.400073221,0.402876774,0.391564681,0.382670184
695.2123,0.432807363,0.405763466,0.397150269,0.392626923,0.388542811,0.384842907,0.383489415,0.388869138,0.39219666,0.39438019,0.399623914,0.399825864,0.402674689,0.391371614,0.382592777
695.6944,0.432401524,0.405430362,0.39683622,0.392359983,0.388267088,0.384592589,0.383230199,0.388626953,0.391959732,0.394144889,0.399383902,0.399574927,0.402478163,0.391166875,0.382492109
696.1765,0.4319345,0.405045081,0.396477418,0.392038326,0.387942914,0.384293371,0.382935838,0.388356059,0.391693163,0.393870766,0.399106036,0.39929675,0.402250074,0.390931277,0.38234531
696.6586,0.431413502,0.404613971,0.396080735,0.391664101,0.387576321,0.383946031,0.382609244,0.388051961,0.391386353,0.393554076,0.398782784,0.39898994,0.401973152,0.390670358,0.382153162
697.1407,0.430879525,0.404171355,0.395678359,0.391268381,0.387198247,0.383575599,0.382272554,0.38773009,0.391052847,0.393211766,0.398431785,0.398672989,0.40165474,0.390405088,0.381933648
697.6229,0.430377891,0.403757108,0.395303463,0.390886535,0.386841578,0.383213705,0.381948679,0.387410563,0.390714631,0.392867683,0.398077218,0.398366576,0.401317073,0.390154852,0.38170651
698.105,0.429930439,0.4033875,0.394965859,0.390534784,0.386518571,0.382874903,0.381643056,0.387099044,0.390385051,0.39253168,0.397733552,0.39807607,0.400981391,0.389919254,0.381477222
698.5871,0.429520273,0.403046461,0.394644744,0.390199252,0.386212493,0.382547355,0.381337238,0.386778931,0.390059004,0.392192918,0.397393652,0.397785764,0.400653649,0.389676534,0.381232883
699.0692,0.429102074,0.40269213,0.394296346,0.389842811,0.385884038,0.382195939,0.380994529,0.386417999,0.389711561,0.391821442,0.397032545,0.397462052,0.400319952,0.389389702,0.380949645
699.5513,0.428627634,0.402280066,0.39387866,0.389426376,0.385493122,0.381785146,0.380581724,0.38598402,0.389314652,0.391388481,0.396621691,0.397072922,0.399955287,0.389029876,0.380607961
700.0334,0.42807388,0.40178785,0.393374218,0.388932947,0.385021065,0.381295571,0.380089115,0.385465863,0.388853162,0.390882407,0.39614702,0.39660525,0.399537819,0.388591122,0.380205877
700.5156,0.427455233,0.401226594,0.3927999,0.388376203,0.38448071,0.380737691,0.379535926,0.384879933,0.388334354,0.390319774,0.395619035,0.396072557,0.399061988,0.388094803,0.379759616
700.9977,0.426814131,0.400630619,0.392194767,0.387792295,0.383906303,0.380143914,0.378960795,0.384264903,0.38778296,0.389734084,0.395064095,0.395505863,0.398538514,0.387577912,0.379295567
701.4798,0.426193218,0.400036032,0.391597484,0.3872164,0.38333423,0.379550136,0.37840081,0.383660418,0.387225678,0.389159824,0.394510345,0.394936782,0.397987845,0.387071307,0.378829955
701.9619,0.425606297,0.399456524,0.391022381,0.386660242,0.382778892,0.378974017,0.377869367,0.383085036,0.386674088,0.388612957,0.39397027,0.394377644,0.39742328,0.386582901,0.378359064
702.444,0.425032148,0.398874039,0.390452185,0.386104865,0.382224916,0.378405659,0.377349575,0.382529574,0.386115039,0.388079687,0.393429204,0.393815125,0.396844025,0.386090737,0.377856898
702.9261,0.424419682,0.398249892,0.389848229,0.385509819,0.381635721,0.377812852,0.376800075,0.381960441,0.385517908,0.387525134,0.392855436,0.39321602,0.396232809,0.385555251,0.377288468
703.4083,0.423719249,0.397547181,0.389173612,0.384835629,0.380972779,0.377160666,0.376180285,0.381338379,0.384848934,0.386911263,0.392214679,0.39254732,0.395565415,0.384941232,0.376628948
703.8904,0.422909837,0.396756383,0.388418912,0.384069984,0.380222275,0.37643358,0.3754704,0.380643076,0.384094571,0.386218762,0.391492664,0.391796897,0.39482894,0.384237603,0.37588127
704.3725,0.42201246,0.395902099,0.387608076,0.383235356,0.379401137,0.375644399,0.374682848,0.379881563,0.383269738,0.385458074,0.390702073,0.390979863,0.39402894,0.383464541,0.375076906
704.8546,0.421077176,0.395032538,0.386788211,0.38237845,0.378550423,0.374828052,0.373855103,0.37908587,0.382413105,0.384660141,0.389877195,0.390134594,0.393189835,0.382661411,0.374263159
705.3367,0.420159815,0.394195514,0.386003283,0.381548121,0.377715081,0.374026064,0.373030075,0.378293889,0.381569232,0.383862995,0.389057074,0.389302249,0.39234517,0.381869952,0.373480101
705.8188,0.419288189,0.393411859,0.38527096,0.380768796,0.376918461,0.37325978,0.37223398,0.377528274,0.380767169,0.383087725,0.388263709,0.388505298,0.391517776,0.381111132,0.372745129
706.301,0.418454674,0.392667485,0.384573377,0.380031486,0.376155308,0.372524738,0.371467009,0.376786878,0.38000731,0.382330387,0.387493136,0.387741751,0.39071341,0.380380403,0.372044364
706.7831,0.417621571,0.391921524,0.383867552,0.379300039,0.375396826,0.371793771,0.370706447,0.376044114,0.379264528,0.381565955,0.38671959,0.386985562,0.389916984,0.379652442,0.371346141
707.2652,0.416748708,0.391132511,0.383109515,0.378535175,0.374609157,0.371034473,0.36992569,0.375268539,0.378505258,0.380767233,0.385912748,0.386206705,0.38910428,0.378900744,0.370618987
707.7473,0.415817133,0.390280409,0.382280032,0.377716376,0.373776734,0.37022938,0.369110954,0.374442378,0.377703784,0.379920032,0.385056357,0.385388478,0.388257631,0.378114033,0.369849612
708.2294,0.414843737,0.389379304,0.381393628,0.376853022,0.372910258,0.369388195,0.368271947,0.373571882,0.376857751,0.379036177,0.384158941,0.384535852,0.387377036,0.377301803,0.369050135
708.7115,0.413871372,0.388467684,0.38049211,0.37597931,0.372040864,0.368539831,0.36743624,0.372684589,0.37598777,0.378147197,0.383250822,0.383675868,0.386480362,0.37648898,0.368250462
709.1937,0.412944535,0.387586022,0.379618856,0.375130612,0.371202214,0.367718826,0.366631601,0.371814874,0.375123286,0.377287383,0.382367477,0.38283716,0.385596392,0.375698906,0.367479914
709.6758,0.412083415,0.386753958,0.378798206,0.374326665,0.370411432,0.366945169,0.365871426,0.370984807,0.374286675,0.376475261,0.381532294,0.382037425,0.384745574,0.374939098,0.366751197
