Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3970.232,0.042045242,0.044883014,0.043704185,0.042715687,0.040115417,0.035307602,0.033689911,0.030235923,0.029925354,0.023778591,0.022034266,0.019578476,0.019062809,0.021089454,0.026144448,0.029028825
3970.714,0.042032556,0.044859654,0.043670063,0.042657726,0.040092174,0.035241193,0.033594179,0.030123623,0.029807057,0.023648576,0.021871691,0.019407111,0.018898047,0.020919823,0.025937604,0.028834822
3971.196,0.042014472,0.044833442,0.043632458,0.042597471,0.040066698,0.035166923,0.033485113,0.02999721,0.029669515,0.023500037,0.021689382,0.019218977,0.01870921,0.020722935,0.025709001,0.028615746
3971.678,0.041996117,0.0448126,0.043600693,0.04255256,0.040051169,0.035105159,0.033390042,0.029893932,0.029560345,0.023374955,0.021543495,0.019073563,0.01855834,0.020560422,0.025516408,0.028420733
3972.16,0.041982626,0.044804872,0.043581634,0.042536094,0.040057716,0.035076574,0.033336807,0.029850484,0.029524881,0.023317523,0.021490236,0.019028281,0.018506766,0.02049537,0.025416515,0.028302214
3972.642,0.041977631,0.044813276,0.043582812,0.042557148,0.040094407,0.035098217,0.033348614,0.029895596,0.029598339,0.023363579,0.021571623,0.019125079,0.018602255,0.020577985,0.025453244,0.028301248
3973.125,0.041981814,0.044837812,0.04360597,0.042614803,0.040162816,0.035175295,0.033433302,0.030038843,0.029790441,0.023525457,0.021798498,0.019373814,0.018856939,0.02082344,0.025641117,0.028434433
3973.607,0.041993421,0.044873604,0.043648545,0.042698711,0.040252387,0.035298261,0.033581456,0.030264048,0.030077478,0.023786896,0.022142482,0.019743945,0.019241892,0.021204759,0.025958149,0.028687234
3974.089,0.042009481,0.044913436,0.043701828,0.04279098,0.040348809,0.035446648,0.033766202,0.030531945,0.030407171,0.02410154,0.022538026,0.020168395,0.019686365,0.021651692,0.026349673,0.029015959
3974.571,0.042026888,0.044950239,0.043755009,0.04287081,0.040429601,0.035590288,0.033950032,0.030784418,0.030706211,0.024404657,0.022897099,0.020555199,0.020091063,0.022067387,0.026737826,0.029358472
3975.053,0.042045242,0.044978974,0.04379656,0.042920003,0.040475883,0.035699064,0.034094012,0.030963704,0.030902827,0.024626786,0.023133266,0.020814276,0.020358356,0.022352229,0.02704299,0.029648467
3975.535,0.042063863,0.04499494,0.043818232,0.04292765,0.040475731,0.03575215,0.034169182,0.031025046,0.03094459,0.02471764,0.023183427,0.020880918,0.020416354,0.022432174,0.027203484,0.029832677
3976.017,0.042083835,0.045000151,0.04381772,0.042891864,0.040428636,0.035741227,0.034163431,0.030953019,0.030816721,0.024656735,0.023032194,0.020733619,0.020241124,0.022282447,0.027192065,0.029885591
3976.499,0.042104082,0.044995781,0.043797841,0.042820037,0.040344495,0.035673133,0.034083578,0.030760526,0.030541985,0.024459573,0.022707545,0.020401086,0.01986307,0.021930024,0.027019748,0.029811424
3976.981,0.042123109,0.044984184,0.043766742,0.042725016,0.040242136,0.035565633,0.033952984,0.030488194,0.030175438,0.024169593,0.022277777,0.019951313,0.019355651,0.021447123,0.026732342,0.029640914
3977.464,0.042137819,0.044966371,0.04373262,0.042623775,0.040142009,0.035441748,0.033799487,0.030188442,0.02978563,0.023846644,0.021825677,0.019470418,0.018813929,0.020926661,0.026393821,0.029418588
3977.946,0.042146053,0.044943517,0.043703007,0.042529722,0.040059339,0.035323222,0.033652402,0.029911523,0.029437237,0.023546849,0.021427085,0.019038623,0.018324971,0.020457107,0.026065774,0.029192178
3978.428,0.042146053,0.044918476,0.043681489,0.042455092,0.040003618,0.03522542,0.033530867,0.029693275,0.029174008,0.023309973,0.021131114,0.018711647,0.017951674,0.020100844,0.0257977,0.028997296
