RamanShift,NBS2
795.2,0.004241813
796.17,0.004097003
797.13,0.003948413
798.09,0.00380591
799.06,0.003687596
800.02,0.003608304
800.99,0.003564988
801.95,0.003539618
802.92,0.003512527
803.88,0.003465479
804.84,0.00339011
805.81,0.003311204
806.77,0.00325194
807.74,0.003214123
808.7,0.003199467
809.67,0.003196464
810.63,0.003186707
811.59,0.003145116
812.56,0.003101728
813.52,0.003095104
814.49,0.00312374
815.45,0.003174299
816.42,0.003226714
817.38,0.003287663
818.34,0.003369084
819.31,0.003489678
820.27,0.003632624
821.24,0.003767508
822.2,0.003885745
823.16,0.004004297
824.13,0.004150502
825.09,0.004290241
826.06,0.004399613
827.02,0.004500689
827.99,0.004614072
828.95,0.004756943
829.91,0.004938053
830.88,0.005178305
831.84,0.005470951
832.81,0.005745466
833.77,0.005991282
834.74,0.006234362
835.7,0.006504104
836.66,0.006816303
837.63,0.007132931
838.59,0.007420721
839.56,0.007697188
840.52,0.007972561
841.49,0.00824528
842.45,0.00850464
843.41,0.008752401
844.38,0.009013246
845.34,0.009322238
846.31,0.009653348
847.27,0.009972901
848.23,0.010270318
849.2,0.010556266
850.16,0.010873005
851.13,0.01126709
852.09,0.01165325
853.06,0.011983587
854.02,0.012289688
854.98,0.012618044
855.95,0.012977845
856.91,0.013333072
857.88,0.013648139
858.84,0.013990829
859.81,0.014399366
860.77,0.014844858
861.73,0.015280687
862.7,0.015676343
863.66,0.016054754
864.63,0.016461524
865.59,0.016929039
866.56,0.01741073
867.52,0.017838898
868.48,0.018208078
869.45,0.018569277
870.41,0.018975156
871.38,0.01938585
872.34,0.019832146
873.3,0.020334823
874.27,0.020848119
875.23,0.021342233
876.2,0.021817686
877.16,0.022284845
878.13,0.02273322
879.09,0.023189828
880.05,0.023679099
881.02,0.024177395
881.98,0.02465249
882.95,0.025104981
883.91,0.025569262
884.88,0.026085634
885.84,0.026606698
886.8,0.027143867
887.77,0.027694221
888.73,0.028241656
889.7,0.028776057
890.66,0.029299943
891.63,0.029814464
892.59,0.030333447
893.55,0.030853735
894.52,0.031390891
895.48,0.031968903
896.45,0.032597921
897.41,0.033267938
898.37,0.033914941
899.34,0.034506957
900.3,0.035058047
901.27,0.035565196
902.23,0.036069277
903.2,0.036595958
904.16,0.037131283
905.12,0.037606522
906.09,0.038043091
907.05,0.038487683
908.02,0.038947552
908.98,0.039427083
909.95,0.039916235
910.91,0.040390347
911.87,0.04083286
912.84,0.041307819
913.8,0.041862956
914.77,0.042429733
915.73,0.042962448
916.7,0.043461744
917.66,0.043946015
918.62,0.044406015
919.59,0.044824641
920.55,0.045229902
921.52,0.045650251
922.48,0.046100615
923.45,0.046590034
924.41,0.047121336
925.37,0.047695311
926.34,0.048280973
927.3,0.048794384
928.27,0.049228257
929.23,0.049640833
930.19,0.050079948
931.16,0.050538828
932.12,0.050950092
933.09,0.0512613
934.05,0.051536546
935.02,0.051825239
935.98,0.052149651
936.94,0.05253486
937.91,0.052973782
938.87,0.053412973
939.84,0.053785467
940.8,0.054083523
941.77,0.054386745
942.73,0.054675929
943.69,0.054923238
944.66,0.055141388
945.62,0.055361029
946.59,0.055616518
947.55,0.055912204
948.52,0.056227748
949.48,0.056475751
950.44,0.056634665
951.41,0.056743301
952.37,0.056871754
953.34,0.057076897
954.3,0.057367973
955.26,0.057620411
956.23,0.057721963
957.19,0.057709642
958.16,0.057669033
959.12,0.057678989
960.09,0.057782543
961.05,0.057934883
962.01,0.058033797
962.98,0.058011193
963.94,0.057950233
964.91,0.057916537
965.87,0.057925766
966.84,0.057945827
967.8,0.057929751
968.76,0.05784013
969.73,0.057746693
970.69,0.057754972
971.66,0.057790922
972.62,0.057779851
973.59,0.057708363
974.55,0.057602104
975.51,0.057495427
976.48,0.057397514
977.44,0.057315367
978.41,0.057248411
979.37,0.057167685
980.33,0.057044185
981.3,0.056863404
982.26,0.056668746
983.23,0.056554873
984.19,0.056457108
985.16,0.056237805
986.12,0.056053633
987.08,0.055941392
988.05,0.055840367
989.01,0.055705845
989.98,0.055569409
990.94,0.055453284
991.91,0.055313754
992.87,0.0551601
993.83,0.055018877
994.8,0.054914595
995.76,0.054828687
996.73,0.054704135
997.69,0.054474352
998.66,0.054224797
999.62,0.054158805
1000.58,0.054153458
1001.55,0.054144066
1002.51,0.05414932
1003.48,0.054168019
1004.44,0.05415773
1005.41,0.054125842
1006.37,0.054132523
1007.33,0.054163449
1008.3,0.054205761
1009.26,0.054251759
1010.23,0.054309427
1011.19,0.054392885
1012.15,0.054524992
1013.12,0.054697759
1014.08,0.054872337
1015.05,0.055094202
1016.01,0.055406977
1016.98,0.055712168
1017.94,0.055899151
1018.9,0.055975318
1019.87,0.056069839
