Angle,Intensity
12.07305722,5596
12.0861875,5548
12.09931779,5717
12.11244807,5674
12.12557835,5580
12.13870863,5601
12.15183892,5683
12.1649692,5562
12.17809948,5487
12.19122976,5713
12.20436005,5710
12.21749033,5587
12.23062061,5640
12.2437509,5649
12.25688118,5535
12.27001146,5643
12.28314174,5684
12.29627203,5794
12.30940231,5621
12.32253259,5544
12.33566287,5586
12.34879316,5580
12.36192344,5562
12.37505372,5581
12.388184,5670
12.40131429,5622
12.41444457,5680
12.42757485,5749
12.44070514,5582
12.45383542,5566
12.4669657,5500
12.48009598,5647
12.49322627,5617
12.50635655,5565
12.51948683,5724
12.53261711,5749
12.5457474,5658
12.55887768,5610
12.57200796,5674
12.58513824,5623
12.59826853,5683
12.61139881,5650
12.62452909,5671
12.63765938,5620
12.65078966,5642
12.66391994,5689
12.67705022,5784
12.69018051,5669
12.70331079,5617
12.71644107,5748
12.72957135,5781
12.74270164,5602
12.75583192,5621
12.7689622,5798
12.78209248,5824
12.79522277,5578
12.80835305,5649
12.82148333,5567
